product_id,brand_name,price_usd,primary_category
P433618,Shiseido,36.0,Skincare
P500746,First Aid Beauty,40.0,Skincare
P503652,TULA Skincare,58.0,Skincare
P500117,HABIT,30.0,Skincare
P460758,Dr. Brandt Skincare,56.0,Skincare
P440317,Peter Thomas Roth,72.0,Skincare
P501421,EADEM,30.0,Skincare
P482327,The Ordinary,9.0,Skincare
P430813,Lancôme,15.0,Skincare
P457694,Algenist,85.0,Skincare
P501031,Dr. Jart+,40.0,Skincare
P483701,The Outset,50.0,Skincare
P504988,DAMDAM,47.0,Skincare
P454821,FOREO,179.0,Skincare
P417625,Dr. Brandt Skincare,58.0,Skincare
P468149,HUM Nutrition,30.0,Skincare
P464244,Dr. Zenovia Skincare,38.0,Skincare
P475172,Sulwhasoo,54.0,Skincare
P440929,Origins,17.0,Skincare
P440926,Origins,17.0,Skincare
P385320,NuFACE,449.0,Skincare
P433468,Kate Somerville,68.0,Skincare
P402992,NuFACE,429.0,Skincare
P464240,Dr. Zenovia Skincare,42.0,Skincare
P483146,SEPHORA COLLECTION,14.0,Skincare
P410755,SK-II,225.0,Skincare
P444225,Dr. Brandt Skincare,36.0,Skincare
P429661,Dr. Brandt Skincare,50.0,Skincare
P429526,Murad,85.0,Skincare
P505160,La Mer,380.0,Skincare
P475112,innisfree,24.0,Skincare
P393501,CLINIQUE,23.5,Skincare
P383052,Dr. Brandt Skincare,67.0,Skincare
P403748,fresh,75.0,Skincare
P377919,Origins,36.0,Skincare
P468672,innisfree,18.0,Skincare
P482675,FaceGym,65.0,Skincare
P464237,Dr. Zenovia Skincare,64.0,Skincare
P469086,SEPHORA COLLECTION,8.0,Skincare
P395417,iluminage,449.0,Skincare
P467972,Saint Jane Beauty,90.0,Skincare
P447504,Algenist,85.0,Skincare
P482510,Augustinus Bader,290.0,Skincare
P475540,Farmacy,74.0,Skincare
P455618,COOLA,36.0,Skincare
P460627,Sunday Riley,20.0,Skincare
P455931,Shani Darden Skin Care,52.0,Skincare
P433974,Naturally Serious,39.0,Skincare
P429659,Biossance,32.0,Skincare
P480165,Farmacy,42.0,Skincare
P392004,Clarins,65.0,Skincare
P504849,Glow Recipe,54.0,Skincare
P500614,Hyper Skin,28.0,Skincare
P463613,CLINIQUE,44.0,Skincare
